job_title,company,location,industry,salary,experience,skills
Software Engineer,TCS,Mumbai,Information Technology,6 LPA,2 years,"Java, Spring Boot"
Data Analyst,Infosys,Bangalore,Data Science,5.5 LPA,1 year,"Python, SQL, Excel"
Web Developer,Wipro,Pune,Web Development,4.8 LPA,2 years,"HTML, CSS, JavaScript"
Machine Learning Engineer,HCL Technologies,Delhi,Artificial Intelligence,8 LPA,3 years,"Python, TensorFlow, Scikit-learn"
Project Manager,Accenture,Hyderabad,Management,12 LPA,5 years,"Agile, Scrum, Leadership"
Frontend Developer,Tech Mahindra,Mumbai,Web Development,5.2 LPA,2 years,"React, HTML, CSS"
Backend Developer,Cognizant,Bangalore,Software Development,6.5 LPA,3 years,"Node.js, Express, MongoDB"
Data Scientist,L&T Infotech,Pune,Data Science,9 LPA,4 years,"R, Python, Machine Learning"
DevOps Engineer,Mindtree,Hyderabad,Cloud Computing,7.5 LPA,3 years,"AWS, Docker, Jenkins"
Business Analyst,Zensar Technologies,Delhi,Analytics,6.8 LPA,3 years,"Excel, Tableau, SQL"
AI Specialist,IBM India,Bangalore,Artificial Intelligence,10 LPA,4 years,"NLP, Python, PyTorch"
Network Engineer,Sify Technologies,Chennai,Networking,5 LPA,2 years,"CCNA, Networking"
Systems Analyst,Honeywell India,Gurgaon,System Analysis,7.2 LPA,4 years,"UML, System Design"
QA Engineer,Capgemini,Pune,Quality Assurance,5.6 LPA,2 years,"Selenium, TestNG"
Cloud Architect,Oracle India,Bangalore,Cloud Computing,15 LPA,6 years,"AWS, GCP, Azure"
UI/UX Designer,Zoho Corp,Chennai,Design,6.3 LPA,3 years,"Figma, Adobe XD"
Cybersecurity Analyst,Quick Heal,Pune,Cybersecurity,7 LPA,4 years,"Kali Linux, OWASP"
Big Data Engineer,Mu Sigma,Bangalore,Big Data,9.5 LPA,4 years,"Hadoop, Spark"
Technical Lead,Infosys,Hyderabad,Software Development,11 LPA,6 years,"Leadership, Architecture"
Full Stack Developer,TCS,Delhi,Web Development,7.5 LPA,3 years,"React, Node.js"
IT Support Specialist,HCL,Mumbai,Technical Support,4.2 LPA,2 years,"Troubleshooting, Helpdesk"
Mobile App Developer,InMobi,Bangalore,Mobile Development,8.3 LPA,3 years,"Flutter, Kotlin"
Database Administrator,Oracle India,Hyderabad,Database Management,8 LPA,4 years,"SQL, Oracle DB"
Embedded Systems Engineer,BEL,Bangalore,Embedded Systems,7 LPA,3 years,"C, Microcontrollers"
Research Scientist,Tata Elxsi,Pune,Research & Development,9 LPA,5 years,"MATLAB, Python"
Game Developer,Nazara Technologies,Mumbai,Game Development,7.5 LPA,3 years,"Unity, C#"
Blockchain Developer,ZebPay,Ahmedabad,Blockchain,10 LPA,3 years,"Solidity, Web3.js"
IoT Engineer,L&T Technology Services,Mysore,IoT,8 LPA,4 years,"Arduino, Raspberry Pi"
Product Manager,Freshworks,Chennai,Product Management,12 LPA,5 years,"Strategy, Analytics"
Digital Marketing Executive,Webenza,Bangalore,Marketing,5.5 LPA,2 years,"SEO, Google Ads"
